Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Years,sales
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDW12,"",Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCB30,14.6,Low Fat,0.025698133999999997,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
FDC37,"",Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
NCD06,13.0,Low Fat,0.099887103,Household,45.906000000000006,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,<=2k
FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDC14,"",Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,>2k
FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDV20,"",Regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,Drinks,4,<=2k
FDX10,"",Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDB34,"",Low Fat,0.026480953999999998,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDK43,9.8,Low Fat,0.02681843,Meat,126.00200000000001,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDC02,21.35,Low Fat,0.06910283099999999,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDL50,12.15,Regular,0.042277867000000004,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDM39,6.42,Low Fat,0.08949892599999999,Dairy,178.1002,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
NCP05,19.6,Low Fat,0.0,Health and Hygiene,153.3024,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDS02,"",Regular,0.25539489600000004,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
NCP18,12.15,Low Fat,0.028760012999999997,Household,151.4708,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,>2k
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,<=2k
FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDI26,"",Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDF09,"",Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDY40,"",Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDY45,"",Low Fat,0.026015518999999997,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,>2k
NCI17,8.645,Low Fat,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDN48,"",Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDL04,19.0,Low Fat,0.11255650699999999,Frozen Foods,104.9622,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDV25,5.905,Low Fat,0.0,Canned,222.5456,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDD58,7.76,Low Fat,0.05935224099999999,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
NCL18,"",Low Fat,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,Non-Consumable,28,<=2k
FDR12,"",Regular,0.031382044,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDZ55,6.055,Low Fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDQ49,"",Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
DRG27,8.895,Low Fat,0.10527411099999999,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,<=2k
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,<=2k
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
FDU04,"",Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
NCP18,"",Low Fat,0.028459761,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDB56,8.75,Regular,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDD10,"",Regular,0.045797829000000005,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDW57,8.31,Regular,0.11585722300000001,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
DRB48,16.75,Regular,0.024832806000000002,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDH14,17.1,Regular,0.046769599999999995,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDA47,10.5,Regular,0.11657670199999999,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDG12,6.635,Regular,0.0,Baking Goods,121.3098,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRE60,"",Low Fat,0.278974075,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,Drinks,28,<=2k
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDW39,"",Regular,0.064625342,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDX34,"",Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDV11,9.1,Regular,0.0,Breads,173.2054,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDD17,7.5,Low Fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,>2k
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,<=2k
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,>2k
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDW11,12.6,Low Fat,0.049058014000000004,Breads,62.7194,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,<=2k
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
DRG23,8.88,Low Fat,0.08670898699999999,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,<=2k
FDY25,"",Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,<=2k
NCR53,"",Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,<=2k
FDH35,"",Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
NCX54,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,<=2k
NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
NCC30,16.6,Low Fat,0.027622076000000002,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDI16,14.0,Regular,0.0,Frozen Foods,53.06399999999999,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52100000000002,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
DRK12,"",Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,Drinks,28,<=2k
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
NCI18,18.35,Low Fat,0.014081156000000001,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,Non-Consumable,4,>2k
FDB36,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
DRD24,13.85,Low Fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
FDQ28,14.0,Regular,0.06037677599999999,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDM22,14.0,Regular,0.04192285,Snack Foods,54.763999999999996,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDR07,"",Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,>2k
FDW51,6.155,Regular,0.09465987099999999,Meat,214.55599999999998,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,>2k
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDL50,12.15,Regular,0.042485444000000004,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCB30,"",Low Fat,0.025578526,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDW11,12.6,Low Fat,0.048980800000000005,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,>2k
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDM15,11.8,Regular,0.057373797000000004,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDS31,13.1,Regular,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDR47,17.85,Low Fat,0.0,Breads,196.5794,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
DRY23,"",Regular,0.191013663,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,Drinks,28,<=2k
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDQ28,"",Regular,0.060134441,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDV39,11.3,Low Fat,0.0072946519999999996,Meat,198.1426,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
NCO17,"",Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,Non-Consumable,28,<=2k
FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDT12,"",Regular,0.049381405999999996,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDK58,11.35,Regular,0.045165795999999994,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDO08,"",Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,<=2k
FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
NCB19,6.525,Low Fat,0.09043609400000001,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDL58,5.78,Regular,0.07426435599999999,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDA08,11.85,Regular,0.050186725999999994,Fruits and Vegetables,164.1526,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCX06,"",Low Fat,0.01561108,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDB41,19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
NCN55,14.6,Low Fat,0.059582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDE40,"",Regular,0.09866365199999999,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDX49,"",Regular,0.101338651,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCM53,18.75,Low Fat,0.052146455999999994,Health and Hygiene,104.62799999999999,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,<=2k
FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDN57,18.25,Low Fat,0.054344185999999996,Snack Foods,140.2154,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDI24,"",Low Fat,0.07836248400000001,Baking Goods,177.937,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDG52,13.65,Low Fat,0.06573288299999999,Frozen Foods,45.7402,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
DRF36,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,>2k
FDS45,"",Regular,0.051643608,Snack Foods,107.3622,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
