ifa,age,dupl_age,workclass,dupl_workclass,fnlwgt,logfnl,empty,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
12762a,21,21,Private,Private,329530,,,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
12814a,19,19,Private,Private,125591,,,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
14301a,59,59,Self-emp-inc,Self-emp-inc,52822,,,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
14379a,54,54,Local-gov,Local-gov,163557,,,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
14640a,25,25,Private,Private,108317,,,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
14678a,35,35,Self-emp-not-inc,Self-emp-not-inc,216256,,,,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
15073a,62,62,Private,Private,113440,,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,<=50K
15100a,63,63,Self-emp-not-inc,Self-emp-not-inc,420629,,,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,<=50K
15123a,57,57,Self-emp-not-inc,Self-emp-not-inc,177271,,,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
15235a,23,23,Private,Private,120773,,,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
15278a,31,31,Private,Private,207685,,,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,34,United-States,<=50K
15676a,38,38,Private,Private,135416,,,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
16773a,39,39,Private,Private,108069,,,Some-college,10,Never-married,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
17147a,66,66,Local-gov,Local-gov,140849,,,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
17270a,73,73,Self-emp-not-inc,Self-emp-not-inc,233882,,,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K
17638a,23,23,Private,Private,67958,,,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
17655a,57,57,Private,Private,159319,,,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
18040a,40,40,Private,Private,377322,,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
19222a,30,30,Local-gov,Local-gov,145692,,,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,1974,40,United-States,<=50K
20129a,44,44,Private,Private,106900,,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,<=50K
20131a,36,36,Local-gov,Local-gov,127772,,,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K
20530a,37,37,Private,Private,152307,,,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
20603a,42,42,Private,Private,227397,,,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
20784a,17,17,Private,Private,31007,,,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
22404a,60,60,Self-emp-not-inc,Self-emp-not-inc,78913,,,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
22532a,40,40,Private,Private,182268,,,Preschool,1,,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
22536a,52,52,Private,Private,373367,,,11th,7,Widowed,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
22606a,42,42,State-gov,State-gov,136996,,,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,48,United-States,<=50K
22762a,39,39,Private,Private,138192,,,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
23354a,24,24,?,?,164574,,,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
23627a,27,27,Local-gov,Local-gov,172091,,,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Male,0,0,40,United-States,<=50K
23854a,63,63,?,?,221592,,,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K
24246a,32,32,Local-gov,Local-gov,186784,,,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,5013,0,45,United-States,<=50K
24351a,43,43,Private,Private,247162,,,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
24677a,29,29,State-gov,State-gov,159782,,,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K
25489a,26,26,Local-gov,Local-gov,163189,,,Some-college,10,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
25931a,58,58,?,?,114362,,,Some-college,10,Married-civ-spouse,?,Husband,Black,Male,0,0,30,United-States,<=50K
26279a,29,29,Private,Private,236938,,,Assoc-acdm,12,Divorced,Craft-repair,Unmarried,White,Female,0,0,38,United-States,<=50K
27412a,43,43,Private,Private,75993,,,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States,>50K
27632a,18,18,Private,Private,423024,,,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
27758a,46,46,Self-emp-not-inc,Self-emp-not-inc,328216,,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
27867a,61,61,Self-emp-not-inc,Self-emp-not-inc,201273,,,Some-college,10,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
28200a,25,25,Private,Private,231714,,,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
28582a,19,19,Private,Private,96483,,,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28699a,48,48,Private,Private,254291,,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
29062a,37,37,?,?,319685,,,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,0,54,United-States,>50K
29560a,44,44,Private,Private,110908,,,Assoc-voc,11,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,25,United-States,<=50K
29803a,47,47,Private,Private,359461,,,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31556a,29,29,Private,Private,112403,,,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,?,<=50K
32469a,39,39,Self-emp-not-inc,Self-emp-not-inc,193689,,,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,65,United-States,<=50K
88a,33,33,Private,Private,202051,5.305461004,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
402a,28,28,Private,Private,108574,5.035725838,,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
595a,23,23,Private,Private,117789,5.071104735,,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
904a,27,27,?,?,90270,4.955543442,,Assoc-acdm,12,Married-civ-spouse,?,Own-child,,Male,0,0,40,United-States,<=50K
1220a,38,38,Private,Private,200818,5.302802638,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
1828a,37,37,Local-gov,Local-gov,118909,5.075214727,,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
1876a,63,63,Private,Private,174018,5.240594173,,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K
2051a,22,22,Private,Private,188569,5.275470298,,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,<=50K
2084a,42,42,Private,Private,121287,5.083814254,,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
2561a,39,39,Private,Private,172425,5.236600235,,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,>50K
2764a,24,24,Federal-gov,Federal-gov,306515,5.486451733,,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
2961a,23,23,Private,Private,268525,5.428984725,,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
3583a,29,29,Private,Private,95465,4.979844177,,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
3588a,54,54,Private,Private,143865,5.15795515,,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
4420a,35,35,Private,Private,341643,5.533572527,,Bachelors,13,Never-married,Other-service,Other-relative,White,Male,0,0,50,United-States,<=50K
4976a,29,29,Private,Private,77760,4.890756252,,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K
5041a,53,53,State-gov,State-gov,144586,5.160126243,,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Female,0,0,40,United-States,<=50K
5603a,59,59,Private,Private,348430,5.542115541,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,43,United-States,>50K
5681a,60,60,Private,Private,167670,5.224455364,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
5928a,22,22,Private,Private,217961,5.338378792,,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,1719,30,United-States,<=50K
7430a,28,28,Self-emp-not-inc,Self-emp-not-inc,240172,5.380522375,,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
7902a,18,18,Private,Private,39222,4.593529735,,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
8181a,58,58,Private,Private,94741,4.976537964,,12th,8,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,United-States,<=50K
8271a,43,43,Private,Private,118308,5.073014113,,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K
8535a,29,29,Private,Private,142519,5.153872766,,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
8744a,37,37,State-gov,State-gov,210452,5.323153057,,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K
8854a,68,68,?,?,29240,4.465977368,,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,12,United-States,<=50K
9884a,43,43,Local-gov,Local-gov,117022,5.068267516,,HS-grad,9,,Farming-fishing,Unmarried,Black,Male,0,0,40,United-States,<=50K
10001a,34,34,Private,Private,120461,5.080846464,,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
10176a,50,50,Self-emp-not-inc,Self-emp-not-inc,225772,5.35367008,,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,>50K
11742a,37,37,Private,Private,200374,5.301841368,,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,>50K
11883a,39,39,Private,Private,236136,5.373162202,,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
12132a,29,29,Private,Private,327964,5.515826175,,,5,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
12783a,31,31,State-gov,State-gov,190305,,,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
13316a,26,26,Private,Private,152855,,,HS-grad,9,Never-married,Exec-managerial,Own-child,Other,Female,0,0,40,Mexico,<=50K
13322a,54,54,?,?,31588,,,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,2635,0,40,United-States,<=50K
13560a,25,25,Private,Private,193701,,,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,38,United-States,<=50K
14059a,28,28,Private,Private,224629,,,Masters,14,Never-married,Exec-managerial,Not-in-family,Other,Male,0,0,30,Cuba,<=50K
14118a,41,41,Private,Private,320984,,,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,65,United-States,>50K
