ifa,age
20098a,39.0
364a,43.0
31915a,50.0
11114a,55.0
3384a,40.0
2680a,64.0
29112a,28.0
2860a,40.0
21247a,61.0
8651a,36.0
16787a,22.0
26437a,32.0
892a,35.0
22303a,42.0
21441a,31.0
27378a,40.0
9626a,34.0
15956a,51.0
16285a,51.0
29673a,33.0
15209a,20.0
14732a,37.0
24687a,17.0
20707a,41.0
7835a,41.0
5214a,26.0
13441a,22.0
31509a,48.0
5995a,38.0
31733a,60.0
28535a,26.0
2484a,74.0
25023a,43.0
26074a,51.0
2988a,46.0
3658a,33.0
24196a,29.0
26983a,65.0
21799a,50.0
10028a,28.0
17468a,50.0
27927a,55.0
20001a,63.0
17411a,43.0
21625a,41.0
12906a,37.0
23577a,23.0
8215a,66.0
2751a,47.0
10359a,50.0
13649a,40.0
13093a,46.0
30422a,24.0
25921a,24.0
811a,30.0
26611a,41.0
7289a,33.0
24075a,42.0
7383a,36.0
3340a,31.0
12907a,59.0
4066a,66.0
29038a,40.0
15773a,21.0
5703a,39.0
19234a,35.0
12258a,27.0
19308a,29.0
27933a,39.0
4528a,19.0
10305a,30.0
13295a,25.0
19657a,33.0
13332a,40.0
2806a,18.0
4568a,32.0
32234a,44.0
24194a,32.0
26409a,24.0
15622a,41.0
14770a,22.0
18196a,36.0
1444a,38.0
20091a,63.0
21821a,27.0
19609a,33.0
29201a,32.0
21847a,23.0
18937a,27.0
15562a,53.0
17921a,62.0
25223a,44.0
4654a,30.0
2425a,61.0
29847a,30.0
12353a,52.0
15944a,26.0
15266a,58.0
470a,30.0
30185a,25.0
13241a,23.0
7337a,40.0
19788a,29.0
24312a,42.0
19895a,23.0
29223a,63.0
4392a,30.0
16358a,31.0
12167a,53.0
5736a,20.0
23004a,30.0
16870a,43.0
4942a,33.0
20319a,38.0
14479a,47.0
20407a,23.0
18344a,20.0
5425a,32.0
2035a,27.0
4181a,23.0
17185a,23.0
27061a,58.0
16686a,59.0
24668a,17.0
10288a,67.0
6868a,47.0
8896a,32.0
31583a,22.0
15096a,52.0
22311a,42.0
4219a,24.0
6200a,32.0
1182a,40.0
29314a,45.0
22735a,29.0
29690a,23.0
30683a,25.0
12300a,60.0
6119a,22.0
25478a,43.0
29138a,29.0
17719a,43.0
10430a,28.0
10095a,19.0
31033a,22.0
26786a,42.0
7618a,34.0
10965a,56.0
32439a,66.0
29688a,45.0
22900a,48.0
27861a,28.0
12491a,24.0
32451a,38.0
15074a,22.0
16843a,30.0
12128a,26.0
26753a,38.0
26507a,76.0
25357a,45.0
17392a,21.0
24430a,62.0
28310a,24.0
16821a,27.0
4098a,40.0
15205a,28.0
13799a,59.0
8027a,42.0
23338a,23.0
3427a,39.0
9928a,18.0
22448a,43.0
4749a,51.0
11788a,27.0
17062a,38.0
22112a,55.0
1986a,29.0
15730a,29.0
9541a,19.0
21242a,40.0
30118a,42.0
7945a,54.0
10578a,66.0
20546a,50.0
30103a,21.0
7397a,18.0
16958a,31.0
30584a,20.0
13513a,62.0
20421a,35.0
12076a,47.0
25071a,59.0
19935a,26.0
25658a,53.0
12920a,67.0
28156a,27.0
23850a,37.0
973a,67.0
3062a,40.0
17868a,45.0
10422a,38.0
20841a,39.0
30026a,20.0
19750a,34.0
8444a,40.0
18860a,36.0
3004a,33.0
10643a,18.0
1011a,51.0
29482a,18.0
6249a,56.0
22117a,42.0
19357a,32.0
23537a,69.0
11920a,44.0
16584a,21.0
25905a,31.0
30048a,32.0
9727a,18.0
21111a,54.0
19163a,44.0
23698a,25.0
31529a,54.0
12207a,49.0
23219a,23.0
3316a,68.0
29706a,25.0
28846a,31.0
3110a,18.0
30816a,54.0
3420a,39.0
5745a,30.0
12141a,27.0
16136a,21.0
18169a,49.0
8850a,38.0
13965a,49.0
27318a,70.0
8908a,39.0
31974a,23.0
19230a,31.0
16849a,39.0
18462a,21.0
2683a,61.0
22582a,46.0
29194a,41.0
9518a,27.0
24606a,49.0
372a,17.0
30349a,29.0
21312a,36.0
6668a,36.0
16310a,38.0
20461a,33.0
2289a,34.0
3226a,42.0
12095a,39.0
8879a,30.0
26709a,65.0
17122a,54.0
29796a,17.0
20739a,20.0
23799a,51.0
12769a,44.0
25039a,27.0
4763a,31.0
3774a,74.0
17679a,46.0
6682a,34.0
12516a,42.0
14885a,78.0
28871a,40.0
26335a,53.0
27075a,42.0
9378a,55.0
28273a,44.0
25407a,26.0
3522a,59.0
13920a,35.0
30573a,29.0
26812a,48.0
5374a,29.0
22323a,47.0
19918a,31.0
29163a,23.0
18141a,37.0
56a,43.0
12883a,46.0
20912a,47.0
8528a,23.0
11614a,59.0
6076a,52.0
31028a,22.0
10464a,41.0
10840a,22.0
21555a,29.0
23542a,29.0
12405a,20.0
20330a,43.0
18982a,25.0
18509a,43.0
32544a,45.0
19712a,24.0
9704a,55.0
27510a,34.0
21015a,53.0
32156a,23.0
3577a,17.0
8842a,54.0
1440a,47.0
28417a,36.0
30868a,32.0
26462a,27.0
8642a,23.0
12594a,36.0
16860a,35.0
5836a,37.0
32098a,26.0
6830a,24.0
23259a,31.0
5523a,27.0
12932a,45.0
31499a,35.0
24060a,19.0
14162a,38.0
15048a,34.0
127a,20.0
8974a,""
23101a,68.0
26136a,28.0
7304a,31.0
440a,42.0
21770a,31.0
7948a,17.0
20016a,56.0
13487a,41.0
4211a,36.0
3527a,29.0
13738a,28.0
6546a,53.0
5459a,33.0
23529a,72.0
30027a,17.0
3727a,50.0
18728a,27.0
21024a,32.0
25862a,54.0
1461a,48.0
4717a,38.0
16154a,39.0
29429a,47.0
30635a,21.0
18980a,44.0
6492a,46.0
30740a,36.0
11287a,62.0
11746a,33.0
31937a,50.0
4107a,40.0
17421a,57.0
7552a,46.0
29322a,36.0
29192a,28.0
31184a,20.0
9042a,50.0
5380a,59.0
9508a,24.0
22732a,66.0
11124a,39.0
24671a,35.0
31186a,45.0
32405a,35.0
8892a,20.0
24086a,26.0
1472a,25.0
21392a,37.0
25953a,48.0
6876a,32.0
26282a,48.0
25913a,74.0
4258a,46.0
19824a,23.0
19857a,29.0
2694a,24.0
7875a,32.0
4945a,46.0
3116a,35.0
19888a,60.0
21280a,47.0
3505a,31.0
12935a,24.0
19024a,52.0
10006a,51.0
8270a,62.0
2143a,56.0
6930a,24.0
9383a,32.0
25934a,38.0
8735a,31.0
27307a,40.0
30210a,17.0
19145a,37.0
30009a,36.0
31787a,50.0
5859a,20.0
15302a,39.0
24595a,30.0
1881a,24.0
3053a,30.0
1835a,56.0
17641a,63.0
32346a,18.0
16261a,39.0
30466a,33.0
19272a,31.0
18230a,42.0
12041a,37.0
21529a,25.0
14299a,49.0
655a,27.0
27016a,24.0
10341a,27.0
17652a,35.0
15338a,38.0
9098a,33.0
15490a,45.0
5356a,35.0
9221a,55.0
11064a,21.0
835a,72.0
19947a,28.0
13410a,20.0
18639a,36.0
1845a,53.0
28540a,27.0
26283a,18.0
8010a,44.0
10786a,45.0
1233a,27.0
10316a,24.0
25462a,38.0
15726a,23.0
18368a,70.0
21486a,40.0
13171a,54.0
5180a,49.0
13331a,64.0
61a,30.0
10321a,31.0
9514a,24.0
22272a,56.0
32239a,47.0
30555a,22.0
682a,37.0
22386a,47.0
15899a,19.0
2154a,44.0
4573a,19.0
29284a,26.0
27767a,30.0
7956a,45.0
2719a,51.0
4409a,52.0
10363a,45.0
28723a,36.0
27255a,49.0
15448a,31.0
3951a,29.0
18647a,48.0
16419a,39.0
9552a,37.0
15873a,49.0
19791a,55.0
19621a,64.0
9698a,28.0
5699a,51.0
28611a,38.0
26535a,59.0
9888a,26.0
32549a,65.0
14536a,20.0
13495a,35.0
22458a,21.0
29011a,47.0
18556a,30.0
19242a,18.0
15608a,21.0
4479a,37.0
24281a,82.0
15272a,51.0
12125a,24.0
32294a,29.0
29716a,28.0
13170a,53.0
14351a,23.0
13850a,40.0
24793a,30.0
25408a,41.0
28345a,30.0
3515a,39.0
17039a,30.0
30211a,21.0
6311a,41.0
20652a,56.0
12368a,29.0
5554a,18.0
23709a,40.0
23914a,44.0
5755a,48.0
23206a,29.0
20910a,77.0
16905a,48.0
26619a,62.0
19898a,29.0
27283a,33.0
21182a,42.0
12916a,18.0
14956a,63.0
550a,28.0
15998a,68.0
13568a,22.0
11215a,20.0
21228a,59.0
30028a,43.0
27533a,28.0
2528a,34.0
3919a,47.0
27922a,43.0
7066a,24.0
4959a,20.0
11479a,73.0
7370a,25.0
11357a,34.0
6523a,20.0
18606a,23.0
2193a,48.0
6773a,28.0
30983a,51.0
20088a,27.0
495a,33.0
23472a,32.0
22048a,35.0
28052a,62.0
5621a,49.0
25021a,34.0
12056a,55.0
28718a,70.0
10754a,27.0
27729a,42.0
32230a,22.0
28004a,21.0
6048a,42.0
1487a,30.0
11753a,54.0
19187a,23.0
476a,46.0
26804a,53.0
19736a,43.0
30981a,55.0
24706a,38.0
21510a,37.0
4653a,48.0
1972a,31.0
25417a,53.0
16723a,24.0
31552a,33.0
6462a,70.0
14816a,36.0
29348a,46.0
5652a,62.0
5746a,27.0
31847a,29.0
22981a,33.0
1316a,24.0
28216a,42.0
2566a,24.0
3230a,45.0
4712a,45.0
23752a,32.0
2276a,23.0
27851a,31.0
11232a,23.0
15309a,23.0
19639a,34.0
25988a,24.0
14445a,25.0
26206a,18.0
22457a,32.0
6378a,46.0
16700a,50.0
10633a,41.0
4591a,26.0
3317a,47.0
26243a,79.0
25980a,67.0
19618a,59.0
21977a,34.0
5231a,20.0
10706a,44.0
28977a,23.0
3541a,36.0
23409a,21.0
30150a,50.0
4533a,25.0
8724a,18.0
20579a,32.0
660a,43.0
4235a,31.0
29003a,31.0
2107a,42.0
29920a,23.0
11098a,17.0
13346a,33.0
24367a,26.0
23617a,55.0
27274a,61.0
13401a,37.0
28539a,50.0
19814a,35.0
993a,50.0
30643a,38.0
1471a,61.0
1555a,62.0
28574a,26.0
3737a,36.0
22887a,28.0
14716a,33.0
2206a,47.0
28663a,43.0
15294a,25.0
2942a,75.0
9036a,30.0
6083a,43.0
3846a,43.0
20577a,68.0
5323a,19.0
11020a,30.0
18764a,48.0
10169a,28.0
18641a,43.0
30907a,39.0
20929a,52.0
20039a,49.0
28054a,50.0
12382a,44.0
29115a,33.0
30633a,60.0
1417a,32.0
14996a,42.0
32412a,26.0
21188a,31.0
12255a,60.0
10294a,19.0
28501a,37.0
7653a,18.0
31587a,49.0
26996a,33.0
6439a,33.0
27442a,40.0
2781a,59.0
714a,40.0
31955a,34.0
24856a,25.0
6111a,54.0
28903a,42.0
27090a,25.0
23590a,54.0
12652a,25.0
4766a,30.0
16450a,32.0
1235a,31.0
2216a,33.0
3525a,21.0
7818a,42.0
19725a,38.0
5081a,30.0
29106a,33.0
16826a,38.0
4694a,26.0
29437a,18.0
31544a,32.0
4319a,26.0
22420a,32.0
20998a,36.0
17336a,26.0
5268a,57.0
324a,29.0
5159a,47.0
4213a,54.0
27769a,27.0
14306a,25.0
32225a,40.0
10392a,43.0
31633a,43.0
12131a,55.0
31193a,31.0
7110a,34.0
14576a,32.0
135a,46.0
28793a,39.0
16181a,37.0
20760a,43.0
27870a,26.0
25473a,40.0
8461a,29.0
19101a,19.0
5657a,35.0
16003a,50.0
12527a,46.0
13436a,18.0
10132a,17.0
8136a,23.0
11949a,25.0
27240a,34.0
26515a,27.0
28234a,29.0
13730a,39.0
6598a,19.0
23747a,19.0
10799a,61.0
28410a,28.0
29777a,54.0
31725a,45.0
15747a,31.0
1183a,36.0
23061a,37.0
31084a,52.0
15190a,19.0
2693a,46.0
19972a,27.0
1377a,44.0
27896a,21.0
31465a,32.0
2780a,40.0
5638a,19.0
1974a,30.0
30562a,60.0
21519a,61.0
3928a,53.0
15571a,42.0
19002a,51.0
3618a,37.0
2338a,22.0
31965a,24.0
2748a,46.0
4836a,28.0
5274a,35.0
10143a,35.0
19603a,51.0
23821a,36.0
14406a,52.0
24212a,75.0
26645a,54.0
2383a,39.0
10694a,36.0
11435a,46.0
29302a,39.0
29676a,20.0
30221a,39.0
32044a,56.0
19884a,21.0
11240a,35.0
1149a,61.0
32552a,32.0
2916a,26.0
31090a,23.0
13903a,22.0
12168a,28.0
20843a,52.0
30483a,46.0
29448a,27.0
14241a,47.0
17860a,28.0
23132a,37.0
26293a,40.0
9289a,33.0
1067a,35.0
30883a,60.0
24013a,26.0
22125a,59.0
20216a,52.0
22834a,32.0
29169a,39.0
1019a,22.0
25861a,27.0
16045a,58.0
18264a,23.0
21788a,20.0
30869a,35.0
11791a,53.0
12146a,64.0
13857a,58.0
1985a,60.0
8918a,47.0
31630a,57.0
2619a,31.0
4072a,41.0
10056a,39.0
5105a,""
5421a,45.0
6148a,58.0
24576a,21.0
28448a,39.0
24103a,35.0
25219a,21.0
20664a,31.0
8198a,23.0
25821a,45.0
18579a,30.0
32388a,20.0
5024a,34.0
32480a,64.0
31325a,37.0
11657a,69.0
10774a,49.0
31986a,42.0
9310a,36.0
15359a,27.0
16185a,34.0
12043a,31.0
2159a,57.0
12379a,27.0
28939a,18.0
27002a,45.0
2081a,59.0
18019a,24.0
11958a,49.0
23262a,51.0
4506a,39.0
612a,24.0
15713a,25.0
30779a,38.0
27724a,60.0
17557a,25.0
7139a,34.0
16240a,44.0
16681a,20.0
26364a,48.0
6692a,28.0
3118a,25.0
17056a,26.0
17931a,53.0
1132a,34.0
27806a,34.0
26380a,56.0
10437a,25.0
31364a,27.0
20817a,44.0
20590a,25.0
7245a,22.0
26652a,19.0
19333a,26.0
31400a,28.0
12087a,66.0
26717a,43.0
3031a,60.0
29382a,66.0
20051a,32.0
28915a,45.0
12439a,28.0
1611a,58.0
10365a,42.0
23917a,34.0
2136a,44.0
1000a,39.0
26326a,19.0
4666a,35.0
30389a,31.0
5228a,50.0
32128a,50.0
3489a,26.0
14140a,33.0
21437a,31.0
10946a,45.0
31754a,20.0
26716a,31.0
14199a,61.0
5328a,52.0
11593a,36.0
21562a,65.0
10138a,51.0
13575a,32.0
28089a,48.0
23365a,25.0
15837a,51.0
32191a,34.0
25626a,34.0
32395a,31.0
22706a,39.0
22319a,32.0
17212a,54.0
25494a,32.0
13679a,27.0
20895a,19.0
17161a,38.0
29729a,32.0
2611a,18.0
23946a,21.0
31158a,25.0
20338a,18.0
21369a,41.0
15785a,20.0
10517a,46.0
24354a,27.0
7727a,58.0
27399a,50.0
23255a,25.0
24298a,32.0
25200a,38.0
12926a,22.0
22417a,48.0
13619a,33.0
10408a,22.0
26772a,22.0
9399a,27.0
3307a,27.0
10249a,52.0
21643a,46.0
20272a,41.0
13986a,44.0
19367a,48.0
15250a,41.0
13319a,27.0
11993a,21.0
22372a,36.0
2779a,35.0
22493a,63.0
12335a,62.0
21055a,31.0
28594a,50.0
2373a,74.0
4218a,20.0
20633a,33.0
26821a,21.0
2690a,22.0
31113a,33.0
13311a,46.0
26603a,25.0
31345a,45.0
20819a,54.0
27559a,25.0
25578a,41.0
7452a,17.0
2631a,42.0
10262a,50.0
21381a,60.0
7778a,39.0
17986a,44.0
24981a,37.0
21523a,35.0
4822a,47.0
5531a,34.0
21373a,29.0
16291a,21.0
30576a,23.0
15943a,38.0
13049a,28.0
31775a,58.0
10308a,45.0
30131a,31.0
6009a,51.0
149a,64.0
26459a,60.0
9136a,57.0
5461a,25.0
5290a,36.0
7995a,37.0
10076a,39.0
21302a,29.0
9296a,36.0
11394a,59.0
5135a,52.0
20195a,41.0
21275a,43.0
28109a,21.0
25888a,31.0
17875a,29.0
27584a,24.0
29353a,50.0
19520a,56.0
13566a,43.0
11197a,73.0
7845a,35.0
5182a,18.0
26423a,54.0
18311a,18.0
24566a,49.0
1436a,58.0
3713a,27.0
21018a,33.0
15191a,56.0
27859a,55.0
4349a,40.0
1188a,65.0
2714a,39.0
23432a,24.0
17910a,50.0
11598a,41.0
6031a,55.0
2462a,26.0
21176a,74.0
27466a,45.0
15187a,40.0
9886a,68.0
25456a,31.0
6965a,29.0
4861a,41.0
8948a,56.0
15046a,32.0
16538a,42.0
2282a,18.0
31649a,39.0
9476a,47.0
24610a,32.0
20434a,37.0
15586a,50.0
16388a,17.0
15686a,21.0
11043a,50.0
4977a,46.0
9643a,62.0
24758a,34.0
26791a,27.0
19282a,59.0
6030a,38.0
14108a,37.0
23797a,30.0
21494a,31.0
31758a,34.0
686a,34.0
32264a,27.0
24481a,30.0
7260a,30.0
25876a,62.0
4932a,19.0
11139a,28.0
29430a,64.0
21325a,20.0
20096a,51.0
8100a,32.0
21992a,35.0
8922a,27.0
13685a,42.0
19401a,61.0
29484a,27.0
28167a,36.0
25770a,37.0
14213a,18.0
10205a,30.0
3254a,30.0
22587a,61.0
5178a,67.0
20034a,27.0
30121a,44.0
14000a,37.0
16744a,17.0
1875a,21.0
18551a,54.0
29595a,81.0
16580a,18.0
3428a,54.0
8621a,32.0
520a,34.0
18608a,60.0
4032a,36.0
28876a,42.0
9201a,60.0
23283a,71.0
12422a,30.0
3434a,37.0
20628a,34.0
9666a,41.0
5936a,29.0
22857a,60.0
26708a,53.0
10366a,33.0
16228a,54.0
25280a,69.0
23083a,38.0
21802a,45.0
8482a,27.0
9730a,28.0
18962a,34.0
28870a,51.0
15710a,44.0
22894a,26.0
1399a,51.0
19786a,30.0
16500a,69.0
11335a,59.0
26532a,34.0
1570a,20.0
14001a,54.0
4641a,44.0
10552a,38.0
28556a,59.0
30234a,74.0
11808a,40.0
15015a,24.0
28144a,68.0
3345a,20.0
23037a,38.0
28883a,39.0
6516a,61.0
30787a,43.0
17585a,22.0
19156a,32.0
10602a,35.0
31185a,33.0
17398a,45.0
8183a,44.0
8938a,33.0
4931a,34.0
6945a,44.0
11440a,23.0
22120a,20.0
7467a,23.0
24021a,27.0
15783a,18.0
10131a,27.0
3146a,41.0
27345a,30.0
13529a,48.0
1694a,53.0
11955a,24.0
24743a,24.0
23717a,33.0
20875a,37.0
7175a,28.0
3209a,47.0
21958a,27.0
2687a,49.0
964a,36.0
2406a,34.0
4804a,27.0
9268a,35.0
1564a,51.0
5390a,42.0
28006a,54.0
12086a,24.0
10224a,27.0
13762a,36.0
8551a,33.0
5928a,22.0
2263a,46.0
14103a,30.0
27160a,50.0
26948a,25.0
23962a,58.0
6738a,42.0
1424a,41.0
25189a,58.0
29570a,18.0
28993a,18.0
24392a,17.0
26634a,43.0
18945a,44.0
31227a,37.0
25972a,55.0
8953a,37.0
17097a,25.0
8557a,39.0
19606a,40.0
10388a,42.0
5559a,38.0
29226a,27.0
27181a,26.0
16773a,39.0
15188a,43.0
22627a,39.0
19465a,48.0
2733a,25.0
6167a,24.0
20203a,34.0
9118a,25.0
32274a,24.0
6322a,20.0
18232a,44.0
30038a,30.0
13603a,32.0
18949a,50.0
29817a,19.0
23573a,19.0
15183a,20.0
30080a,36.0
12020a,22.0
27070a,27.0
5118a,22.0
16322a,58.0
31335a,53.0
10239a,20.0
295a,27.0
24423a,58.0
20018a,64.0
7780a,17.0
23200a,20.0
9294a,19.0
12092a,20.0
8337a,59.0
13719a,21.0
24504a,38.0
10970a,29.0
3802a,30.0
15500a,23.0
21891a,25.0
20278a,48.0
30385a,20.0
7960a,49.0
1730a,31.0
24225a,26.0
24080a,34.0
8054a,29.0
16188a,37.0
8313a,28.0
21359a,48.0
7530a,64.0
22198a,44.0
28032a,33.0
1298a,41.0
14392a,48.0
28916a,29.0
15883a,42.0
28569a,17.0
2189a,29.0
27186a,28.0
12113a,48.0
3077a,32.0
3857a,22.0
10351a,73.0
25434a,24.0
7907a,39.0
8949a,53.0
29474a,19.0
5146a,42.0
5058a,26.0
18378a,33.0
30306a,52.0
3468a,50.0
21864a,24.0
21616a,25.0
14120a,23.0
23706a,39.0
17826a,58.0
29355a,32.0
13382a,33.0
15655a,50.0
17621a,36.0
8558a,37.0
21959a,43.0
12489a,30.0
5589a,57.0
27257a,18.0
9000a,20.0
254a,19.0
14544a,41.0
13635a,45.0
5065a,18.0
24583a,30.0
15960a,67.0
30191a,35.0
25185a,24.0
15937a,27.0
10880a,51.0
6837a,23.0
30750a,41.0
25797a,46.0
22946a,54.0
28729a,36.0
5144a,57.0
10313a,48.0
