Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Years,sales
FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDN48,"",Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
NCL18,"",Low Fat,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,Non-Consumable,28,<=2k
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDQ49,"",Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,<=2k
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDD10,"",Regular,0.045797829000000005,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
DRB48,16.75,Regular,0.024832806000000002,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDD17,7.5,Low Fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,"",Tier 2,Supermarket Type1,Non-Consumable,6,<=2k
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,>2k
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,"",Tier 2,Supermarket Type1,Drinks,11,>2k
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,<=2k
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,Drinks,16,<=2k
DRG23,8.88,Low Fat,0.08670898699999999,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDY25,"",Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCR53,"",Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
NCR53,"",Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
NCR53,"",Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDH35,"",Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDH35,"",Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,<=2k
NCC30,16.6,Low Fat,0.027622076000000002,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDI16,14.0,Regular,0.0,Frozen Foods,53.06399999999999,OUT035,Small,Tier 2,Supermarket Type1,Food,9,<=2k
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52100000000002,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
DRD24,13.85,Low Fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
DRD24,13.85,Low Fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
FDQ28,14.0,Regular,0.06037677599999999,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDR07,"",Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDW51,6.155,Regular,0.09465987099999999,Meat,214.55599999999998,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDL50,12.15,Regular,0.042485444000000004,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDM15,11.8,Regular,0.057373797000000004,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDS31,13.1,Regular,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
NCO17,"",Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,Non-Consumable,28,<=2k
FDT12,"",Regular,0.049381405999999996,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,<=2k
NCB19,6.525,Low Fat,0.09043609400000001,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDA08,11.85,Regular,0.050186725999999994,Fruits and Vegetables,164.1526,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
NCX06,"",Low Fat,0.01561108,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDE40,"",Regular,0.09866365199999999,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDX49,"",Regular,0.101338651,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDN57,18.25,Low Fat,0.054344185999999996,Snack Foods,140.2154,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDG52,13.65,Low Fat,0.06573288299999999,Frozen Foods,45.7402,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
DRK12,9.5,Low Fat,0.041878397000000005,Soft Drinks,32.99,OUT035,Small,Tier 2,Supermarket Type1,Drinks,9,<=2k
DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,Small,Tier 2,Supermarket Type1,Drinks,9,>2k
DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,Small,Tier 2,Supermarket Type1,Drinks,9,>2k
FDY24,4.88,Regular,0.133700752,Baking Goods,52.9298,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDY24,4.88,Regular,0.133700752,Baking Goods,52.9298,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDH28,15.85,Regular,0.11003099699999999,Frozen Foods,37.2506,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
DRJ13,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,>2k
DRF27,"",Low Fat,0.049754975,Dairy,152.134,OUT019,Small,Tier 1,Grocery Store,Drinks,28,<=2k
NCX42,"",Low Fat,0.0059496440000000005,Household,165.6526,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDG33,"",Regular,0.13956116,Seafood,170.4764,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCU41,18.85,Low Fat,0.052044976,Health and Hygiene,192.1846,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,>2k
FDY56,16.35,Regular,0.06276442900000001,Fruits and Vegetables,227.6062,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDK21,7.905,Low Fat,0.010010425,Snack Foods,249.0408,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDL20,17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDV32,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDV32,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,<=2k
FDJ34,11.8,Regular,0.09357779,Snack Foods,125.9704,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDJ34,11.8,Regular,0.09357779,Snack Foods,125.9704,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDQ04,"",Low Fat,0.148392623,Frozen Foods,41.5796,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
FDW13,8.5,Low Fat,0.098438394,Canned,51.1324,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDW13,8.5,Low Fat,0.098438394,Canned,51.1324,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDS12,9.1,Low Fat,0.175103435,Baking Goods,127.5362,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDN01,8.895,Low Fat,0.072545601,Breakfast,176.237,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDG24,7.975,Low Fat,0.014618973,Baking Goods,85.225,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDG59,15.85,Low Fat,0.04347912599999999,Starchy Foods,36.7164,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDM28,15.7,Low Fat,0.045166237000000005,Frozen Foods,178.666,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDQ56,6.59,Low Fat,0.10550944,Fruits and Vegetables,85.6908,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDQ56,6.59,Low Fat,0.10550944,Fruits and Vegetables,85.6908,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDL22,16.85,Low Fat,0.036390174,Snack Foods,91.4488,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDL22,16.85,Low Fat,0.036390174,Snack Foods,91.4488,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDH19,"",Low Fat,0.03292824,Meat,173.1738,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDY55,16.75,Low Fat,0.081252534,Fruits and Vegetables,256.4988,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDK21,7.905,Low Fat,0.016758568999999997,Snack Foods,250.4408,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDZ10,"",Low Fat,0.044248175,Snack Foods,126.20200000000001,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDZ32,7.785,Regular,0.038288087,Fruits and Vegetables,103.1964,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
NCZ18,7.825,Low Fat,0.186032678,Household,253.0698,OUT035,Small,Tier 2,Supermarket Type1,Non-Consumable,9,>2k
NCF07,"",Low Fat,0.031867464,Household,101.0016,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
NCF07,"",Low Fat,0.031867464,Household,101.0016,OUT027,Medium,Tier 3,Supermarket Type3,Non-Consumable,28,>2k
FDF20,12.85,Low Fat,0.033287541000000004,Fruits and Vegetables,198.4768,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDH27,7.075,Low Fat,0.05858462,Dairy,142.7128,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDE33,19.35,Regular,0.049916364000000005,Fruits and Vegetables,80.2644,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDE33,19.35,Regular,0.049916364000000005,Fruits and Vegetables,80.2644,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDU36,6.15,Low Fat,0.04627095,Baking Goods,99.3384,OUT046,Small,Tier 1,Supermarket Type1,Food,16,>2k
FDV13,"",Regular,0.02747716,Canned,87.9856,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDO23,17.85,Low Fat,0.147023834,Breads,93.7436,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDX23,6.445,Low Fat,0.029691762000000003,Baking Goods,92.6436,OUT046,Small,Tier 1,Supermarket Type1,Food,16,<=2k
FDX19,19.1,Low Fat,0.09671552300000001,Fruits and Vegetables,235.0958,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDD40,20.25,Regular,0.014790558999999998,Dairy,193.6162,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDM50,"",Regular,0.029943462999999997,Canned,60.222,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
FDB29,16.7,Regular,0.052368060999999994,Frozen Foods,112.7176,OUT013,High,Tier 3,Supermarket Type1,Food,26,<=2k
FDC08,19.0,Regular,0.173154079,Fruits and Vegetables,228.27200000000002,OUT010,"",Tier 3,Grocery Store,Food,15,<=2k
FDB53,13.35,Low Fat,0.139735226,Frozen Foods,147.5392,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDB53,13.35,Low Fat,0.139735226,Frozen Foods,147.5392,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRQ35,"",Low Fat,0.042086652,Hard Drinks,122.4388,OUT027,Medium,Tier 3,Supermarket Type3,Drinks,28,>2k
FDX36,9.695,Regular,0.12848269,Baking Goods,223.9404,OUT049,Medium,Tier 1,Supermarket Type1,Food,14,>2k
DRD13,15.0,Low Fat,0.049357077,Soft Drinks,62.6168,OUT017,"",Tier 2,Supermarket Type1,Drinks,6,<=2k
FDC52,11.15,Regular,0.008326735,Dairy,149.9708,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
NCK19,9.8,Low Fat,0.151420934,Others,194.3478,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
NCK19,9.8,Low Fat,0.151420934,Others,194.3478,OUT010,"",Tier 3,Grocery Store,Non-Consumable,15,<=2k
FDV59,13.35,Low Fat,0.048124442999999996,Breads,216.7166,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
DRH39,20.7,Low Fat,0.09261307,Dairy,76.367,OUT013,High,Tier 3,Supermarket Type1,Drinks,26,<=2k
FDN60,"",Low Fat,0.094697274,Baking Goods,158.4604,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDU55,16.2,Low Fat,0.035984103999999996,Fruits and Vegetables,260.6278,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDU55,16.2,Low Fat,0.035984103999999996,Fruits and Vegetables,260.6278,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDN58,"",Regular,0.056596985,Snack Foods,230.9984,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCO43,5.5,Low Fat,0.04709821,Others,101.3016,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
FDQ07,15.1,Regular,0.087584126,Fruits and Vegetables,221.7456,OUT045,"",Tier 2,Supermarket Type1,Food,11,>2k
FDF28,15.7,Regular,0.038078899,Frozen Foods,122.9046,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDF28,15.7,Regular,0.038078899,Frozen Foods,122.9046,OUT017,"",Tier 2,Supermarket Type1,Food,6,<=2k
FDM01,7.895,Regular,0.095102092,Breakfast,104.4332,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
NCY30,20.25,Low Fat,0.026005891,Household,180.9976,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
NCY30,20.25,Low Fat,0.026005891,Household,180.9976,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
FDJ22,"",Low Fat,0.09246392,Snack Foods,190.9504,OUT019,Small,Tier 1,Grocery Store,Food,28,<=2k
DRI37,15.85,Low Fat,0.107765165,Soft Drinks,59.5904,OUT049,Medium,Tier 1,Supermarket Type1,Drinks,14,<=2k
NCO30,19.5,Low Fat,0.015749341,Household,182.2608,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
NCB07,19.2,Low Fat,0.077628053,Household,197.611,OUT049,Medium,Tier 1,Supermarket Type1,Non-Consumable,14,>2k
FDX25,16.7,Low Fat,0.0,Canned,181.2292,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,>2k
FDP59,20.85,Regular,0.056695731,Breads,104.0648,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
FDT27,11.395,Regular,0.06952926200000001,Meat,233.1616,OUT013,High,Tier 3,Supermarket Type1,Food,26,>2k
FDJ56,"",Low Fat,0.18251488100000002,Fruits and Vegetables,98.77,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
FDJ56,"",Low Fat,0.18251488100000002,Fruits and Vegetables,98.77,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,>2k
NCO17,10.0,Low Fat,0.073379745,Health and Hygiene,118.244,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
NCO17,10.0,Low Fat,0.073379745,Health and Hygiene,118.244,OUT046,Small,Tier 1,Supermarket Type1,Non-Consumable,16,>2k
FDX60,14.35,Low Fat,0.08075758,Baking Goods,81.896,OUT045,"",Tier 2,Supermarket Type1,Food,11,<=2k
FDD44,8.05,Regular,0.07838564,Fruits and Vegetables,256.4646,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDD44,8.05,Regular,0.07838564,Fruits and Vegetables,256.4646,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDS15,9.195,Regular,0.078502143,Meat,108.7596,OUT017,"",Tier 2,Supermarket Type1,Food,6,>2k
FDZ07,"",Regular,0.0,Fruits and Vegetables,60.2194,OUT027,Medium,Tier 3,Supermarket Type3,Food,28,<=2k
NCW53,"",Low Fat,0.053392944000000005,Health and Hygiene,193.8162,OUT019,Small,Tier 1,Grocery Store,Non-Consumable,28,<=2k
NCA54,16.5,Low Fat,0.036715907,Household,180.0318,OUT045,"",Tier 2,Supermarket Type1,Non-Consumable,11,>2k
FDX09,9.0,Low Fat,0.065236932,Snack Foods,176.437,OUT035,Small,Tier 2,Supermarket Type1,Food,9,>2k
FDW49,19.5,Low Fat,0.08288849599999999,Canned,178.6002,OUT018,Medium,Tier 3,Supermarket Type2,Food,4,<=2k
