ifa,age,workclass,fnlwgt,education,income,dt_1,dt_2
127a,20,Private,111697,?,<=50K,2/12/17 12:04,2/21/17 12:04
128a,31,Private,114937,?,>50K,2/12/17 22:30,2/15/17 22:30
129a,35,?,129305,?,<=50K,2/12/17 22:43,2/18/17 22:43
130a,39,Private,365739,?,<=50K,2/24/17 4:25,3/7/17 4:25
131a,28,Private,69621,?,<=50K,2/25/17 23:32,3/4/17 23:32
132a,24,Private,43323,?,<=50K,3/2/17 4:23,3/12/17 4:23
133a,38,Self-emp-not-inc,120985,HS-grad,<=50K,3/4/17 21:36,3/14/17 21:36
134a,37,Private,254202,Bachelors,<=50K,3/7/17 1:42,3/17/17 1:42
135a,46,Private,146195,Assoc-acdm,<=50K,3/7/17 15:51,3/18/17 15:51
136a,38,Federal-gov,125933,Masters,>50K,3/8/17 10:16,3/13/17 10:16
137a,43,Self-emp-not-inc,56920,HS-grad,<=50K,3/9/17 5:34,3/12/17 5:34
138a,27,Private,163127,Assoc-voc,<=50K,3/10/17 5:53,3/22/17 5:53
139a,20,Private,34310,Some-college,<=50K,3/10/17 6:08,3/19/17 6:08
140a,49,Private,81973,Some-college,>50K,3/10/17 9:22,3/20/17 9:22
141a,61,Self-emp-inc,66614,HS-grad,<=50K,3/11/17 2:27,3/14/17 2:27
142a,27,Private,232782,Some-college,<=50K,3/11/17 8:59,3/17/17 8:59
143a,19,Private,316868,Some-college,<=50K,3/11/17 9:11,3/22/17 9:11
144a,45,Private,196584,Assoc-voc,>50K,3/14/17 10:08,3/26/17 10:08
145a,70,Private,105376,Some-college,<=50K,3/15/17 7:28,3/19/17 7:28
146a,31,Private,,?,<=50K,3/16/17 3:08,3/24/17 3:08
147a,22,Private,,?,<=50K,3/16/17 23:03,3/21/17 23:03
148a,36,Private,108293,HS-grad,<=50K,3/17/17 10:27,3/20/17 10:27
149a,64,Private,181232,11th,<=50K,3/22/17 9:28,4/2/17 9:28
150a,43,?,174662,Some-college,<=50K,3/22/17 20:36,4/1/17 20:36
151a,47,Local-gov,186009,Some-college,<=50K,3/25/17 6:55,3/29/17 6:55
152a,34,Private,198183,HS-grad,<=50K,3/25/17 16:09,3/30/17 16:09
153a,33,Private,163003,Bachelors,<=50K,3/26/17 8:18,3/30/17 8:18
154a,21,Private,296158,HS-grad,<=50K,4/3/17 9:07,4/9/17 9:07
155a,52,?,252903,HS-grad,>50K,4/4/17 1:40,4/14/17 1:40
156a,48,Private,187715,HS-grad,<=50K,4/5/17 10:20,4/13/17 10:20
157a,23,Private,214542,Bachelors,<=50K,4/9/17 7:58,4/17/17 7:58
158a,71,Self-emp-not-inc,494223,Some-college,<=50K,4/10/17 5:15,4/16/17 5:15
159a,29,Private,191535,HS-grad,<=50K,4/11/17 1:11,4/17/17 1:11
160a,42,Private,228456,Bachelors,<=50K,4/11/17 19:13,4/17/17 19:13
161a,68,?,38317,1st-4th,<=50K,4/11/17 20:38,4/14/17 20:38
162a,25,Private,252752,HS-grad,<=50K,4/12/17 22:18,4/24/17 22:18
163a,44,Self-emp-inc,78374,Masters,<=50K,4/16/17 8:44,4/18/17 8:44
164a,28,Private,88419,HS-grad,<=50K,4/18/17 9:57,4/29/17 9:57
165a,45,Self-emp-not-inc,201080,Masters,>50K,4/19/17 3:46,4/30/17 3:46
166a,36,Private,207157,Some-college,<=50K,4/19/17 10:02,4/28/17 10:02
167a,39,Federal-gov,235485,Assoc-acdm,<=50K,4/20/17 11:03,4/26/17 11:03
168a,46,State-gov,102628,Masters,<=50K,4/20/17 22:02,4/22/17 22:02
169a,18,Private,25828,11th,<=50K,4/26/17 19:08,5/5/17 19:08
170a,66,Local-gov,54826,Assoc-voc,<=50K,4/27/17 9:31,5/1/17 9:31
171a,27,Private,124953,HS-grad,<=50K,4/30/17 17:28,5/11/17 17:28
172a,28,State-gov,175325,HS-grad,<=50K,5/1/17 8:33,5/5/17 8:33
173a,51,Private,96062,Some-college,>50K,5/1/17 22:34,5/5/17 22:34
174a,27,Private,428030,Bachelors,<=50K,5/2/17 21:18,5/10/17 21:18
175a,28,State-gov,149624,Bachelors,>50K,5/3/17 8:07,5/15/17 8:07
176a,27,Private,253814,HS-grad,<=50K,5/4/17 23:17,5/6/17 23:17
177a,21,Private,312956,HS-grad,<=50K,5/5/17 2:57,5/13/17 2:57
178a,34,Private,483777,HS-grad,<=50K,5/5/17 23:26,5/14/17 23:26
179a,18,Private,183930,HS-grad,<=50K,5/10/17 2:05,5/22/17 2:05
180a,33,Private,37274,Bachelors,<=50K,5/10/17 2:54,5/18/17 2:54
181a,44,Local-gov,181344,Some-college,>50K,5/10/17 7:18,5/12/17 7:18
182a,43,Private,114580,Some-college,<=50K,5/10/17 9:14,5/13/17 9:14
183a,30,Private,633742,Some-college,<=50K,5/11/17 2:33,5/17/17 2:33
184a,40,Private,286370,7th-8th,>50K,5/11/17 9:46,5/18/17 9:46
185a,37,Federal-gov,29054,Some-college,>50K,5/11/17 22:55,5/18/17 22:55
186a,34,Private,304030,HS-grad,<=50K,5/12/17 6:16,5/16/17 6:16
187a,41,Self-emp-not-inc,143129,Bachelors,<=50K,5/17/17 19:44,5/20/17 19:44
188a,53,?,135105,Bachelors,<=50K,5/17/17 19:56,5/21/17 19:56
189a,31,Private,99928,Masters,<=50K,5/21/17 9:16,5/25/17 9:16
190a,58,State-gov,109567,Doctorate,>50K,5/24/17 4:55,6/4/17 4:55
191a,38,Private,155222,?,<=50K,5/27/17 5:14,6/4/17 5:14
192a,24,Private,159567,?,<=50K,5/29/17 9:49,6/6/17 9:49
193a,41,Local-gov,523910,?,<=50K,5/31/17 7:11,6/4/17 7:11
194a,47,Private,120939,?,<=50K,5/31/17 20:31,6/2/17 20:31
195a,41,Federal-gov,130760,?,<=50K,6/4/17 12:00,6/7/17 12:00
196a,23,Private,197387,?,<=50K,6/5/17 0:35,6/14/17 0:35
197a,36,Private,99374,?,<=50K,6/5/17 13:45,6/10/17 13:45
198a,40,Federal-gov,56795,?,>50K,6/7/17 3:53,6/15/17 3:53
199a,35,Private,138992,?,>50K,6/7/17 7:04,6/15/17 7:04
200a,24,Self-emp-not-inc,32921,?,<=50K,6/8/17 8:54,6/15/17 8:54
201a,26,Private,397317,?,<=50K,6/8/17 14:14,6/10/17 14:14
202a,19,?,170653,HS-grad,<=50K,6/9/17 7:40,6/18/17 7:40
203a,51,Private,259323,Bachelors,>50K,6/10/17 9:36,6/21/17 9:36
204a,42,Local-gov,254817,Some-college,<=50K,6/12/17 0:20,6/20/17 0:20
205a,37,State-gov,48211,HS-grad,<=50K,6/14/17 0:02,6/23/17 0:02
206a,18,Private,140164,11th,<=50K,6/21/17 11:43,6/29/17 11:43
207a,36,Private,128757,Bachelors,>50K,6/27/17 6:22,7/7/17 6:22
208a,35,Private,36270,HS-grad,<=50K,7/3/17 7:23,7/10/17 7:23
209a,58,Self-emp-inc,210563,HS-grad,>50K,7/6/17 1:33,7/16/17 1:33
210a,17,Private,65368,11th,<=50K,7/8/17 9:08,7/15/17 9:08
211a,44,Local-gov,160943,HS-grad,<=50K,7/10/17 1:50,7/15/17 1:50
212a,37,Private,208358,HS-grad,>50K,7/10/17 1:57,7/14/17 1:57
213a,35,Private,153790,Some-college,<=50K,7/11/17 18:16,7/20/17 18:16
214a,60,Private,85815,HS-grad,<=50K,7/12/17 21:21,7/24/17 21:21
215a,54,Self-emp-inc,125417,7th-8th,>50K,7/12/17 23:50,7/15/17 23:50
216a,37,Private,635913,Bachelors,>50K,7/13/17 23:17,7/21/17 23:17
217a,50,Private,313321,Assoc-acdm,<=50K,7/16/17 3:20,7/28/17 3:20
218a,38,Private,182609,Bachelors,<=50K,7/17/17 3:38,7/28/17 3:38
219a,45,Private,109434,Bachelors,<=50K,7/18/17 23:35,7/29/17 23:35
220a,25,Private,255004,10th,<=50K,7/20/17 21:52,7/23/17 21:52
221a,31,Private,197860,Some-college,<=50K,7/21/17 22:59,7/26/17 22:59
222a,64,?,187656,1st-4th,<=50K,7/22/17 8:00,7/27/17 8:00
223a,,Private,51744,HS-grad,<=50K,7/22/17 12:52,7/29/17 12:52
224a,54,Private,176681,HS-grad,<=50K,7/24/17 3:51,8/2/17 3:51
225a,53,Local-gov,140359,Preschool,<=50K,7/25/17 3:54,7/29/17 3:54
226a,18,Private,243313,HS-grad,<=50K,7/25/17 13:43,7/31/17 13:43
227a,60,?,24215,10th,<=50K,7/26/17 0:29,7/31/17 0:29
228a,66,Self-emp-not-inc,167687,HS-grad,<=50K,7/27/17 6:56,7/31/17 6:56
229a,75,Private,314209,Assoc-voc,<=50K,7/27/17 20:19,8/4/17 20:19
230a,65,Private,176796,HS-grad,<=50K,7/31/17 6:42,8/4/17 6:42
231a,35,Private,538583,11th,<=50K,7/31/17 17:19,8/10/17 17:19
232a,41,Private,130408,HS-grad,<=50K,8/4/17 0:53,8/15/17 0:53
233a,25,Private,159732,Some-college,<=50K,8/4/17 7:13,8/15/17 7:13
234a,33,Private,110978,Some-college,<=50K,8/4/17 10:54,8/7/17 10:54
235a,28,?,,?,>50K,8/5/17 7:23,8/8/17 7:23
236a,59,?,,?,<=50K,8/6/17 8:56,8/8/17 8:56
237a,40,State-gov,170525,Some-college,<=50K,8/7/17 6:45,8/12/17 6:45
238a,41,Private,180138,Bachelors,>50K,8/7/17 21:21,8/12/17 21:21
239a,38,Local-gov,115076,Masters,>50K,8/9/17 21:40,8/18/17 21:40
240a,23,Private,115458,HS-grad,<=50K,8/10/17 9:07,8/16/17 9:07
241a,40,Private,347890,Bachelors,>50K,8/10/17 9:49,8/18/17 9:49
242a,41,Self-emp-not-inc,196001,HS-grad,<=50K,8/11/17 5:59,8/19/17 5:59
243a,24,State-gov,273905,Assoc-acdm,<=50K,8/11/17 19:21,8/17/17 19:21
244a,20,?,119156,Some-college,<=50K,8/11/17 20:06,8/20/17 20:06
245a,38,Private,179488,Some-college,<=50K,8/12/17 9:53,8/19/17 9:53
246a,56,Private,203580,HS-grad,<=50K,8/12/17 20:58,8/21/17 20:58
247a,58,Private,236596,HS-grad,>50K,8/15/17 3:29,8/27/17 3:29
248a,32,Private,183916,HS-grad,<=50K,8/16/17 10:02,8/27/17 10:02
249a,40,Private,207578,Assoc-acdm,>50K,8/17/17 18:47,8/29/17 18:47
250a,45,Private,153141,HS-grad,<=50K,8/18/17 12:39,8/29/17 12:39
251a,41,Private,112763,Prof-school,>50K,8/18/17 20:57,8/27/17 20:57
252a,42,Private,390781,Bachelors,<=50K,8/19/17 6:04,8/31/17 6:04
253a,59,Local-gov,171328,10th,<=50K,8/20/17 7:43,8/26/17 7:43
254a,19,Local-gov,27382,Some-college,<=50K,8/21/17 0:44,8/29/17 0:44
255a,58,Private,259014,Some-college,<=50K,8/21/17 4:01,8/24/17 4:01
256a,42,Self-emp-not-inc,303044,HS-grad,>50K,8/21/17 7:28,8/28/17 7:28
257a,20,Private,117789,HS-grad,<=50K,8/21/17 11:09,8/31/17 11:09
258a,32,Private,172579,HS-grad,<=50K,8/22/17 10:17,8/29/17 10:17
259a,45,Private,187666,Assoc-voc,<=50K,8/23/17 11:32,8/27/17 11:32
260a,50,Private,204518,7th-8th,<=50K,8/25/17 7:00,8/30/17 7:00
261a,,?,,?,<=50K,8/25/17 12:52,8/28/17 12:52
262a,,?,,?,<=50K,8/27/17 9:38,9/2/17 9:38
263a,,?,,?,<=50K,8/27/17 22:15,8/30/17 22:15
264a,,?,,?,<=50K,8/28/17 9:19,9/6/17 9:19
265a,26,Private,378322,11th,<=50K,9/5/17 6:31,9/10/17 6:31
266a,37,Self-emp-inc,257295,Some-college,>50K,9/8/17 9:22,9/15/17 9:22
267a,19,?,218956,Some-college,<=50K,9/12/17 1:39,9/14/17 1:39
268a,64,Private,21174,HS-grad,>50K,9/12/17 20:13,9/21/17 20:13
269a,33,Private,185480,Bachelors,<=50K,9/12/17 22:33,9/17/17 22:33
270a,33,Private,222205,HS-grad,>50K,9/12/17 23:35,9/22/17 23:35
271a,61,Private,69867,HS-grad,>50K,9/13/17 10:43,9/22/17 10:43
272a,17,Private,191260,,<=50K,9/15/17 22:12,9/22/17 22:12
273a,50,Self-emp-not-inc,30653,Masters,<=50K,9/16/17 23:11,9/21/17 23:11
274a,27,Local-gov,209109,Masters,<=50K,9/17/17 19:12,9/23/17 19:12
275a,30,Private,70377,HS-grad,<=50K,9/21/17 2:12,9/29/17 2:12
276a,43,Private,477983,HS-grad,<=50K,9/22/17 8:05,9/25/17 8:05
277a,44,Private,170924,Some-college,>50K,9/22/17 18:23,9/24/17 18:23
278a,35,Private,190174,Some-college,<=50K,9/25/17 21:39,10/5/17 21:39
279a,25,Private,193787,Some-college,<=50K,9/27/17 9:34,9/29/17 9:34
280a,24,Private,279472,Some-college,>50K,9/27/17 12:08,10/7/17 12:08
281a,22,Private,34918,Bachelors,<=50K,9/29/17 23:28,10/6/17 23:28
282a,42,Local-gov,97688,Some-college,>50K,10/3/17 22:54,10/10/17 22:54
283a,34,Private,175413,Assoc-acdm,<=50K,10/6/17 7:12,10/10/17 7:12
284a,60,Private,173960,Bachelors,<=50K,10/7/17 6:56,10/13/17 6:56
285a,21,Private,205759,HS-grad,<=50K,10/7/17 9:55,10/13/17 9:55
286a,57,Federal-gov,425161,Masters,>50K,10/8/17 6:42,10/16/17 6:42
287a,41,Private,220531,Prof-school,>50K,10/8/17 22:16,10/15/17 22:16
288a,50,Private,176609,Some-college,<=50K,10/10/17 3:12,10/21/17 3:12
289a,25,Private,371987,Bachelors,<=50K,10/10/17 4:46,10/15/17 4:46
290a,50,Private,193884,7th-8th,<=50K,10/10/17 6:33,10/20/17 6:33
291a,36,Private,200352,Bachelors,<=50K,10/10/17 7:52,10/18/17 7:52
292a,31,Private,127595,HS-grad,<=50K,10/10/17 13:54,10/20/17 13:54
293a,29,Local-gov,220419,Bachelors,<=50K,10/11/17 0:47,10/14/17 0:47
294a,21,Private,231931,Some-college,<=50K,10/12/17 9:35,10/17/17 9:35
295a,27,Private,248402,Bachelors,<=50K,10/13/17 8:38,10/20/17 8:38
296a,65,Private,111095,HS-grad,<=50K,10/13/17 9:47,10/22/17 9:47
297a,37,Self-emp-inc,57424,Bachelors,<=50K,10/16/17 6:53,10/23/17 6:53
298a,39,?,157443,Masters,<=50K,10/16/17 9:01,10/25/17 9:01
299a,24,Private,278130,HS-grad,<=50K,10/16/17 12:16,10/28/17 12:16
300a,38,Private,169469,HS-grad,<=50K,10/17/17 0:54,10/23/17 0:54
301a,48,Private,146268,Bachelors,>50K,10/17/17 5:50,10/21/17 5:50
302a,21,Private,153718,Some-college,<=50K,10/17/17 9:38,10/27/17 9:38
303a,,,,,>50K,10/20/17 5:50,10/23/17 5:50
304a,,,,,>50K,10/21/17 5:10,10/24/17 5:10
305a,,,,,<=50K,10/22/17 0:19,10/27/17 0:19
306a,43,Private,173321,HS-grad,<=50K,10/22/17 1:40,11/2/17 1:40
307a,26,Private,193945,Assoc-acdm,<=50K,10/22/17 18:43,10/30/17 18:43
308a,46,Private,83082,Assoc-acdm,<=50K,10/27/17 2:01,10/29/17 2:01
309a,35,Private,193815,Assoc-acdm,>50K,10/27/17 21:42,11/1/17 21:42
310a,41,Self-emp-inc,34987,Some-college,>50K,10/28/17 2:52,11/6/17 2:52
311a,26,Private,59306,Bachelors,<=50K,10/28/17 20:29,11/9/17 20:29
312a,34,Private,142897,Masters,>50K,10/30/17 7:25,11/4/17 7:25
313a,19,?,860348,Some-college,<=50K,10/30/17 11:58,11/10/17 11:58
314a,36,Self-emp-not-inc,205607,Bachelors,>50K,11/1/17 14:05,11/8/17 14:05
315a,22,Private,199698,Some-college,<=50K,11/5/17 2:30,11/16/17 2:30
316a,24,Private,191954,Some-college,<=50K,11/5/17 6:47,11/8/17 6:47
317a,77,Self-emp-not-inc,138714,Some-college,<=50K,11/7/17 4:17,11/12/17 4:17
318a,22,Private,399087,5th-6th,<=50K,11/7/17 9:48,11/11/17 9:48
319a,29,Private,423158,Some-college,<=50K,11/7/17 11:18,11/15/17 11:18
320a,62,Private,159841,HS-grad,<=50K,11/9/17 9:31,11/20/17 9:31
321a,39,Self-emp-not-inc,174308,HS-grad,<=50K,11/11/17 0:34,11/21/17 0:34
322a,43,Private,50356,Some-college,<=50K,11/12/17 6:57,11/14/17 6:57
323a,35,Private,186110,HS-grad,<=50K,11/12/17 19:03,11/18/17 19:03
324a,29,Private,200381,11th,<=50K,11/15/17 2:25,11/22/17 2:25
325a,76,Self-emp-not-inc,174309,Masters,<=50K,11/16/17 20:12,11/20/17 20:12
326a,63,Self-emp-not-inc,78383,HS-grad,<=50K,11/16/17 22:28,11/24/17 22:28
327a,23,?,211601,Assoc-voc,<=50K,11/17/17 3:46,11/21/17 3:46
328a,43,Private,187728,Some-college,>50K,11/18/17 5:25,11/24/17 5:25
329a,58,Self-emp-not-inc,321171,HS-grad,<=50K,11/20/17 3:25,12/1/17 3:25
330a,66,Private,127921,HS-grad,<=50K,11/20/17 4:00,11/25/17 4:00
331a,41,Private,206565,Some-college,<=50K,11/20/17 17:27,11/24/17 17:27
332a,26,Private,224563,Bachelors,<=50K,11/23/17 11:08,12/4/17 11:08
