"Feature Name","Feature Description",Industry,Usecase,Source
"unique categories","Number of different categories purchased in the basket",retail,"customer churn prediction",https://www.academia.edu/download/60493022/362_Customer_Churn_Prediction_Using_Association_Rule_Mining20190905-47252-4myjzx.pdf
retired_flag," is the client retired (1, 0)","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
gender,"Gender of the client","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
location,"Customer location including city and region","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
income,"annual income of customer","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
"credit score","A value between 0 and 800 indicating the riskiness of the borrower’s credit history.","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
"customer value","How many products & services customers purchase and what kind of revenue that generates for the bank - past, current, and predicted for the future","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
activity_flag,"is the client active (1, 0)","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
customerid,"contains random values and has no effect on customer leaving the bank.","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
surname,"the surname of a customer has no impact on their decision to leave the bank.","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
hascrcard,"denotes whether or not a customer has a credit card. This column is also relevant, since people with a credit card are less likely to leave the bank.","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
estimatedsalary,"as with balance, people with lower salaries are more likely to leave the bank compared to those with higher salaries.","banking financial service and insurance","customer churn prediction",https://www.kaggle.com/mathchi/churn-for-bank-customers
gender,"Gender of the client","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
income,"annual income of customer","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
education,"Users' education level","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
job,"unemployed/unskilled - resident/skilled employee/management/highly qualified employee","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
"relationship time with bank","Financial Variables","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
atm_transactions,"Number and amount of transactions made by customer through ATM","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
ussd_mbs_transactions,"Number and amount of transactions made by customer through USSD-based mobile banking","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
mbs_transactions,"Number and amount of transactions made by customer through mobile bank","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
telephone_transactions,"Number and amount of transactions made by customer through telephone bank","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
inb_transactions,"Number and amount of transactions made by customer through internet bank","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
"customer complaint","Number of complaint made by customer","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
"length of customer association","Number of years the customer is associated with a bank","banking financial service and insurance","customer churn prediction",https://www.researchgate.net/publication/306388481_Developing_a_prediction_model_for_customer_churn_from_electronic_banking_services_using_data_mining
marital_status," is the client married (Yes, No)","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
gender,"Gender of the client","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
income,"annual income of customer","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
property_saving_insurance,"real estate/ building society savings agreement/life insurance/no property","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"deposits with bank","Money placed into the bank","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"current loan amount","This is the loan amount that was either completely paid off, or the amount that was defaulted.","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
atm_transactions,"Number and amount of transactions made by customer through ATM","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
mbs_transactions,"Number and amount of transactions made by customer through mobile bank","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
inb_transactions,"Number and amount of transactions made by customer through internet bank","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"branch debit and credit transactions","Branch Debit and Credit transactions","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"atm transactions","ATM transactions","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"pos transactions","Point of sale transactions","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"e-com transactions","E-COM transactions","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"gcc transactions","Green Channel Counter transactions","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"inb transactions","Internet Banking Transactions","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"mbs transactions","Mobile banking services transactions","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"existing loans","Number and amount of existing loans of the customer","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
deposits,"Amount deposit by Customer","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"customer vintage","Customer Vintage","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"joint ventures & investments","Life insurance, General Insurance, Mutual funds, etc.","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"kyc compliance","KYC compliance","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
"usage of inb services","purpose of using Internet banking services","banking financial service and insurance","customer churn prediction",http://www.naturalspublishing.com/files/published/yt9r868jnrv116.pdf
retired_flag," is the client retired (1, 0)",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
marital_status," is the client married (Yes, No)",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
tenure,"Tenure of credit card service for user",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
internetservice," client's Internet service provider (DSL, Fiber optic, No)",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
contract," type of customer contract (Month to month, one year, two year",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
paperlessbilling," whether the client uses paperless billing (Yes, No)",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
onlinesecurity,"Is online security service connected (Yes, No, No internet service)",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
totalcharges,"total amount that the client paid for the services for the entire time",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
techsupport,"Is the technical support service connected (Yes, No, No internet service)",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
paymentmethod,"payment method (Electronic check, Mailed check, Bank transfer (automatic), Credit card (automatic))",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
monthlycharges,"current monthly payment",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
gender,"Gender of the client",telecommunication,"customer churn prediction",https://www.kaggle.com/radmirzosimov/telecom-users-dataset
"international plan","International call usage",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"total day minutes","Daily total talk time",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"number customer service calls","Number of call to customer service",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"voice mail plan","Voice mail usage",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"total eve minutes","Total talk time in evening",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
state,"Living place",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"total day charge","Daily Total spent credits",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"number vmail messages","Number of voice messages",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"total intl calls","Total number of international call",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
"total intl charge","Total spent credits of international calls ",telecommunication,"customer churn prediction",https://www.researchgate.net/publication/282981765_Customer_churn_prediction_in_telecommunication
contract," type of customer contract (Month to month, one year, two year",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
gender,"Gender of the client",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
"mobile imei information","Contains the brand, model, type of the mobile phone and if it's dual or mono SIM device",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
"towers and complaints database","Information of action location is represented as digits. Mapping these digits with towers' database provides the location of this transaction, giving the longitude and latitude, sub-area, area, city, and state. All complaints submitted and statistics inquiries
related to coverage, problems in offers and packages, and any problem related to the
telecom business",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
"network logs data","Contains the internal sessions related to internet, calls, and SMS for each transaction in Telecom operator, like the time needed to open a session for the internet and call ending status. It could indicate if the session dropped due to an error in the internal network",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
"customer data","Contains all data related to customer's services and contract information as well as date of birth, gender, location",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
"call details records(cdr)","Contain all charging information about calls, SMS, MMS, and internet transaction made by customers.",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
location,"Customer location including city and region",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
"sms events","the number of SMS per day with corresponding charging units",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
inb_transactions,"Number and amount of transactions made by customer through internet bank",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
device_brand,"brand of device",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
dob,"date of birth",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
dual_or_mono,"dual or mono sim device",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
mobile_phone_type,"type of mobile phone",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
mobile_phone_model,"model of mobile phone",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
call_charging_info,"charging info about calls",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
mms_charging_info,"charging info about mms",telecommunication,"customer churn prediction",https://arxiv.org/pdf/1904.00690.pdf
"loan status","Flag indicating whether the user paid back the credit amount within 5 days of issuing the loan{1:success, 0:failure}",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
msisdn,"mobile number of user",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
aon,"age on cellular network in days",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
daily_decr30,"Daily amount spent from main account, averaged over last 30 days (in Indonesian Rupiah)",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
daily_decr90,"Daily amount spent from main account, averaged over last 90 days (in Indonesian Rupiah)",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
rental30,"Average main account balance over last 30 days",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
rental90,"Average main account balance over last 90 days",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
last_rech_date_ma,"Number of days till last recharge of main account",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
last_rech_date_da,"Number of days till last recharge of data account",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
last_rech_amt_ma,"Amount of last recharge of main account (in Indonesian Rupiah)",telecommunication,"customer churn prediction",https://www.kaggle.com/sivakrishna3311/delinquency-telecom-dataset
cnt_ma_rech30,"Number of times main account got recharged in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
fr_ma_rech30,"Frequency of main account recharged in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
sumamnt_ma_rech30,"Total amount of recharge in main account over last 30 days (in Indonesian Rupiah)",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
medianamnt_ma_rech30,"Median of amount of recharges done in main account over last 30 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
medianmarechprebal30,"Median of main account balance just before recharge in last 30 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
cnt_ma_rech90,"Number of times main account got recharged in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
fr_ma_rech90,"Frequency of main account recharged in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
sumamnt_ma_rech90,"Total amount of recharge in main account over last 90 days (in Indonesian Rupiah)",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
medianamnt_ma_rech90,"Median of amount of recharges done in main account over last 90 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
medianmarechprebal90,"Median of main account balance just before recharge in last 90 days at user level (in Indonesian Rupiah)",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
cnt_da_rech30,"Number of times data account got recharged in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
fr_da_rech30,"Frequency of data account recharged in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
cnt_da_rech90,"Number of times data account got recharged in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
fr_da_rech90,"Frequency of data account recharged in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
cnt_loans30,"Number of loans taken by user in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
amnt_loans30,"Total amount of loans taken by user in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
maxamnt_loans30,"maximum amount of loan taken by the user in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
medianamnt_loans30,"Median of amounts of loan taken by the user in last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
cnt_loans90,"Number of loans taken by user in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
amnt_loans90,"Total amount of loans taken by user in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
maxamnt_loans90,"maximum amount of loan taken by the user in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
medianamnt_loans90,"Median of amounts of loan taken by the user in last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
payback30,"Average payback time in days over last 30 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
payback90,"Average payback time in days over last 90 days",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
pcircle,"telecom circle",telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
pdate,date,telecommunication,"delinquency prediction",https://discuss.analyticsvidhya.com/t/project-delinquency-telecom-model/82924
gender,"Gender of the client",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
"descriptive statistics value of frequency","meanfreq,sd,median,Q25,Q75,IQR,skew,kurt of frequency",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
sp.ent," spectral entropy",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
sfm," spectral flatness",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
mode," mode frequency of acoustic signal",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
centroid," acoustic signal frequency centroid (see specprop)",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
peakf," peak frequency (frequency with highest energy)",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
meanfun,"average of fundamental frequency measured across acoustic signal",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
minfun," minimum fundamental frequency measured across acoustic signal",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
maxfun," maximum fundamental frequency measured across acoustic signal",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
meandom," average of dominant frequency measured across acoustic signal",telecommunication,"gender prediction using voice",https://www.kaggle.com/primaryobjects/voicegender
