ifa,age,age2,empty,workclass,fnlwgt,logfnl,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,label
13415a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,Germany,>50K,0
14413a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,Italy,>50K,0
14947a,1,1,,Local-gov,1,,Some-college,1,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
15177a,1,1,,?,1,,1st-4th,1,Married-civ-spouse,?,Husband,Black,Male,0,0,1,United-States,<=50K,0
15747a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Sales,Husband,White,Female,0,0,1,United-States,>50K,0
15877a,1,1,,State-gov,1,,Bachelors,1,Never-married,Adm-clerical,Other-relative,White,Male,0,0,1,United-States,<=50K,0
16005a,1,1,,?,1,,HS-grad,1,Divorced,?,Not-in-family,White,Male,8614,0,1,United-States,>50K,0
16799a,1,1,,?,1,,HS-grad,1,Married-civ-spouse,?,Husband,White,Male,0,0,1,United-States,<=50K,0
17315a,1,1,,?,1,,Some-college,1,Widowed,?,Unmarried,White,Female,0,0,1,United-States,<=50K,0
17326a,1,1,,Self-emp-not-inc,1,,Some-college,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K,0
17944a,1,1,,Federal-gov,1,,HS-grad,1,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K,0
18584a,1,1,,Private,1,,Bachelors,1,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,<=50K,0
18863a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
19713a,1,1,,Private,1,,11th,1,Divorced,Other-service,Unmarried,White,Male,0,0,1,United-States,<=50K,0
19973a,1,1,,Local-gov,1,,Masters,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
20434a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,1,United-States,<=50K,0
20761a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,<=50K,0
21477a,1,1,,Private,1,,Bachelors,1,Never-married,Prof-specialty,Not-in-family,White,Male,14344,0,1,United-States,>50K,0
21529a,1,1,,?,1,,11th,1,Never-married,?,Own-child,White,Female,0,0,1,United-States,<=50K,0
22154a,1,1,,Private,1,,Masters,1,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,1,United-States,>50K,0
22875a,1,1,,Self-emp-not-inc,1,,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K,0
23201a,1,1,,Self-emp-not-inc,1,,Assoc-voc,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,3103,0,1,United-States,<=50K,0
23390a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,>50K,0
23615a,1,1,,Private,1,,Bachelors,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
23694a,1,1,,Private,1,,HS-grad,1,Never-married,Exec-managerial,Own-child,White,Male,0,0,1,United-States,<=50K,0
24861a,1,1,,Private,1,,,1,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,1,Mexico,<=50K,0
25017a,1,1,,Private,1,,Some-college,1,Divorced,Sales,Unmarried,,Female,0,0,1,United-States,<=50K,0
25395a,1,1,,Private,1,,Assoc-acdm,1,Never-married,Tech-support,Not-in-family,Black,Female,14344,0,1,England,>50K,0
25798a,1,1,,Private,1,,10th,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,<=50K,0
25818a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,7688,0,1,United-States,>50K,0
25943a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,1,United-States,<=50K,0
26342a,1,1,,Private,1,,HS-grad,1,Divorced,Craft-repair,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
26520a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,<=50K,0
27646a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,1977,1,United-States,>50K,0
27833a,1,1,,Self-emp-inc,1,,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K,0
28057a,1,1,,Private,1,,1st-4th,1,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,1,Portugal,<=50K,0
28150a,1,1,,Private,1,,,1,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,1,United-States,<=50K,0
28391a,1,1,,Self-emp-inc,1,,Some-college,1,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,1,United-States,<=50K,0
28573a,1,1,,Private,1,,10th,1,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,1,United-States,<=50K,0
28825a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,>50K,0
29575a,1,1,,Local-gov,1,,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,3432,0,1,United-States,<=50K,0
30629a,1,1,,?,1,,Bachelors,1,Married-civ-spouse,?,Husband,White,Female,5556,0,1,United-States,>50K,0
31059a,1,1,,Private,1,,,1,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K,0
31249a,1,1,,Private,1,,HS-grad,1,Divorced,Transport-moving,Unmarried,White,Male,1151,0,1,Germany,<=50K,0
31445a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1,United-States,<=50K,0
31463a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
31478a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Other-service,Wife,White,Male,0,0,1,United-States,<=50K,0
31960a,1,1,,Private,1,,HS-grad,1,Never-married,Exec-managerial,Own-child,White,?,0,0,1,United-States,<=50K,0
32281a,1,1,,Private,1,,Some-college,1,Divorced,Adm-clerical,Not-in-family,White,?,0,0,1,United-States,<=50K,0
32442a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Transport-moving,Husband,White,?,0,1887,1,United-States,>50K,0
32462a,1,1,,Private,1,,Bachelors,1,Never-married,Machine-op-inspct,Not-in-family,White,?,0,0,1,United-States,<=50K,0
32463a,1,1,,Self-emp-inc,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,1,United-States,>50K,0
628a,1,1,,Self-emp-not-inc,1,5.427414695,HS-grad,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K,0
2291a,1,1,,Private,1,5.30513847,HS-grad,1,Never-married,Handlers-cleaners,Own-child,White,Female,0,1719,1,United-States,<=50K,0
2385a,1,1,,Private,1,5.23777741,Some-college,1,Never-married,Exec-managerial,Own-child,White,Male,0,0,1,United-States,<=50K,0
3114a,1,1,,Private,1,5.297357754,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,1,United-States,>50K,0
3125a,1,1,,Private,1,5.258986685,Some-college,1,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K,0
3252a,1,1,,Private,1,5.163313471,Some-college,1,Never-married,Sales,Own-child,Black,Male,0,0,1,United-States,<=50K,0
3542a,1,1,,Self-emp-not-inc,1,5.275474904,Assoc-voc,1,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,1,United-States,<=50K,0
4416a,1,1,,Self-emp-not-inc,1,5.553836926,,1,Divorced,Craft-repair,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
4530a,1,1,,Private,1,5.286667503,10th,1,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,1,United-States,<=50K,0
4773a,1,1,,Local-gov,1,5.347934679,Some-college,1,Divorced,Other-service,Other-relative,White,Male,7896,0,1,*,>50K,0
4814a,1,1,,Private,1,5.402629302,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,1,Italy,<=50K,0
5442a,1,1,,Private,1,5.42668527,5th-6th,1,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,1,Italy,<=50K,0
5971a,1,1,,Private,1,5.312651182,Bachelors,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,>50K,0
6094a,1,1,,Private,1,5.329906123,Some-college,1,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
6309a,1,1,,Private,1,5.351344003,Some-college,1,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
6375a,1,1,,Private,1,5.203370178,Bachelors,1,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
6792a,1,1,,Private,1,5.044237844,11th,1,Never-married,Sales,Own-child,White,Male,0,0,1,United-States,<=50K,0
7501a,1,1,,Self-emp-not-inc,1,4.492690561,Some-college,1,Separated,Farming-fishing,Not-in-family,White,Female,4101,0,1,United-States,<=50K,0
7897a,1,1,,Local-gov,1,5.259837474,Masters,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,Poland,>50K,0
8190a,1,1,,?,1,5.371012417,Some-college,1,Never-married,?,Own-child,Black,Female,0,0,1,United-States,<=50K,0
8735a,1,1,,Private,1,5.139728001,Some-college,1,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,1,Puerto-Rico,<=50K,0
8801a,1,1,,Local-gov,1,5.39411357,Assoc-voc,1,Never-married,Protective-serv,Not-in-family,White,Male,0,0,1,United-States,>50K,0
9275a,1,1,,Self-emp-not-inc,1,5.553813874,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
9797a,1,1,,Private,1,4.870368786,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,<=50K,0
10842a,1,1,,Private,1,5.211206003,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,1,United-States,<=50K,0
11068a,1,1,,Local-gov,1,5.220210109,HS-grad,1,Divorced,Other-service,Unmarried,White,Male,0,0,1,United-States,<=50K,0
11435a,1,1,,Private,1,5.392772553,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,>50K,0
11741a,1,1,,Private,1,5.249017262,HS-grad,1,Divorced,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
11955a,1,1,,Private,1,4.384586361,HS-grad,1,Never-married,Craft-repair,Not-in-family,White,Male,0,1590,1,United-States,<=50K,0
12762a,1,1,,Private,1,,11th,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,Mexico,<=50K,0
12814a,1,1,,Private,1,,11th,1,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
14301a,1,1,,Self-emp-inc,1,,Bachelors,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,1,United-States,<=50K,0
14379a,1,1,,Local-gov,1,,HS-grad,1,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
14640a,1,1,,Private,1,,Bachelors,1,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
14678a,1,1,,Self-emp-not-inc,1,,,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K,0
15073a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Sales,Husband,White,Female,0,0,1,United-States,<=50K,0
15100a,1,1,,Self-emp-not-inc,1,,Assoc-voc,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K,0
15123a,1,1,,Self-emp-not-inc,1,,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,<=50K,0
15235a,1,1,,Private,1,,HS-grad,1,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
15278a,1,1,,Private,1,,HS-grad,1,Never-married,Other-service,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
15676a,1,1,,Private,1,,Some-college,1,Divorced,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K,0
16773a,1,1,,Private,1,,Some-college,1,Never-married,Craft-repair,Unmarried,White,Male,0,0,1,United-States,<=50K,0
17147a,1,1,,Local-gov,1,,HS-grad,1,Widowed,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
17270a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,1,Vietnam,<=50K,0
17638a,1,1,,Private,1,,Some-college,1,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
17655a,1,1,,Private,1,,Masters,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K,0
18040a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,1,United-States,>50K,0
19222a,1,1,,Local-gov,1,,Some-college,1,Never-married,Protective-serv,Not-in-family,Black,Male,0,1974,1,United-States,<=50K,0
20129a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K,0
20131a,1,1,,Local-gov,1,,Bachelors,1,Divorced,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,<=50K,0
20530a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,>50K,0
20603a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,1,United-States,>50K,0
20784a,1,1,,Private,1,,10th,1,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K,0
22404a,1,1,,Self-emp-not-inc,1,,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,1,United-States,<=50K,0
22532a,1,1,,Private,1,,Preschool,1,,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K,0
22536a,1,1,,Private,1,,11th,1,Widowed,Craft-repair,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
22606a,1,1,,State-gov,1,,Some-college,1,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,1,United-States,<=50K,0
22762a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,>50K,0
23354a,1,1,,?,1,,Some-college,1,Never-married,?,Own-child,White,Female,0,0,1,United-States,<=50K,0
23627a,1,1,,Local-gov,1,,HS-grad,1,Never-married,Craft-repair,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
23854a,1,1,,?,1,,HS-grad,1,Married-civ-spouse,?,Husband,White,Male,0,0,1,United-States,>50K,0
24246a,1,1,,Local-gov,1,,Bachelors,1,Married-civ-spouse,Prof-specialty,Wife,White,Male,5013,0,1,United-States,<=50K,0
24351a,1,1,,Private,1,,Assoc-acdm,1,Never-married,Sales,Own-child,White,Male,0,0,1,United-States,<=50K,0
24677a,1,1,,State-gov,1,,Masters,1,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,1,United-States,>50K,0
25489a,1,1,,Local-gov,1,,Some-college,1,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,1,United-States,<=50K,0
25931a,1,1,,?,1,,Some-college,1,Married-civ-spouse,?,Husband,Black,Male,0,0,1,United-States,<=50K,0
26279a,1,1,,Private,1,,Assoc-acdm,1,Divorced,Craft-repair,Unmarried,White,Male,0,0,1,United-States,<=50K,0
27412a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,7688,0,1,United-States,>50K,0
27632a,1,1,,Private,1,,12th,1,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,1,United-States,<=50K,0
27758a,1,1,,Self-emp-not-inc,1,,Prof-school,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K,0
27867a,1,1,,Self-emp-not-inc,1,,Some-college,1,Widowed,Machine-op-inspct,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
28200a,1,1,,Private,1,,Some-college,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,1,United-States,<=50K,0
28582a,1,1,,Private,1,,HS-grad,1,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,1,United-States,<=50K,0
28699a,1,1,,Private,1,,Masters,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,>50K,0
29062a,1,1,,?,1,,Assoc-voc,1,Married-civ-spouse,?,Husband,White,Male,0,0,1,United-States,>50K,0
29560a,1,1,,Private,1,,Assoc-voc,1,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,1,United-States,<=50K,0
29803a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,1,United-States,<=50K,0
31556a,1,1,,Private,1,,5th-6th,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,?,<=50K,0
32469a,1,1,,Self-emp-not-inc,1,,HS-grad,1,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
88a,1,1,,Private,1,5.305461004,Masters,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K,0
402a,1,1,,Private,1,5.035725838,Some-college,1,Never-married,Other-service,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
595a,1,1,,Private,1,5.071104735,Bachelors,1,Never-married,Adm-clerical,Own-child,White,Female,0,0,1,United-States,<=50K,0
904a,1,1,,?,1,4.955543442,Assoc-acdm,1,Married-civ-spouse,?,Own-child,,Male,0,0,1,United-States,<=50K,0
1220a,1,1,,Private,1,5.302802638,Prof-school,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,>50K,0
1828a,1,1,,Local-gov,1,5.075214727,HS-grad,1,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,1,United-States,<=50K,0
1876a,1,1,,Private,1,5.240594173,Some-college,1,Married-civ-spouse,Sales,Husband,Black,Male,0,0,1,United-States,>50K,0
2051a,1,1,,Private,1,5.275470298,Some-college,1,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
2084a,1,1,,Private,1,5.083814254,HS-grad,1,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
2561a,1,1,,Private,1,5.236600235,Assoc-voc,1,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,1,United-States,>50K,0
2764a,1,1,,Federal-gov,1,5.486451733,HS-grad,1,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
2961a,1,1,,Private,1,5.428984725,Bachelors,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
3583a,1,1,,Private,1,4.979844177,HS-grad,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K,0
3588a,1,1,,Private,1,5.15795515,HS-grad,1,Divorced,Sales,Unmarried,White,Male,0,0,1,United-States,<=50K,0
4420a,1,1,,Private,1,5.533572527,Bachelors,1,Never-married,Other-service,Other-relative,White,Male,0,0,1,United-States,<=50K,0
4976a,1,1,,Private,1,4.890756252,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,<=50K,0
5041a,1,1,,State-gov,1,5.160126243,Some-college,1,Never-married,Protective-serv,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
5603a,1,1,,Private,1,5.542115541,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,1,United-States,>50K,0
5681a,1,1,,Private,1,5.224455364,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,<=50K,0
5928a,1,1,,Private,1,5.338378792,Some-college,1,Never-married,Transport-moving,Own-child,White,Male,0,1719,1,United-States,<=50K,0
7430a,1,1,,Self-emp-not-inc,1,5.380522375,Masters,1,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K,0
7902a,1,1,,Private,1,4.593529735,11th,1,Never-married,Other-service,Own-child,White,Male,0,0,1,United-States,<=50K,0
8181a,1,1,,Private,1,4.976537964,12th,1,Married-civ-spouse,Other-service,Wife,White,Female,0,0,1,United-States,<=50K,0
8271a,1,1,,Private,1,5.073014113,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,1,United-States,>50K,0
8535a,1,1,,Private,1,5.153872766,HS-grad,1,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,1,United-States,<=50K,0
8744a,1,1,,State-gov,1,5.323153057,Masters,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,<=50K,0
8854a,1,1,,?,1,4.465977368,HS-grad,1,Widowed,?,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
9884a,1,1,,Local-gov,1,5.068267516,HS-grad,1,,Farming-fishing,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
10001a,1,1,,Private,1,5.080846464,Some-college,1,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K,0
10176a,1,1,,Self-emp-not-inc,1,5.35367008,Doctorate,1,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,>50K,0
11742a,1,1,,Private,1,5.301841368,Bachelors,1,Married-civ-spouse,Sales,Husband,White,Female,0,1902,1,United-States,>50K,0
11883a,1,1,,Private,1,5.373162202,Assoc-voc,1,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,1,United-States,<=50K,0
12132a,1,1,,Private,1,5.515826175,,1,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,1,United-States,<=50K,0
12783a,1,1,,State-gov,1,,Masters,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,1,United-States,<=50K,0
13316a,1,1,,Private,1,,HS-grad,1,Never-married,Exec-managerial,Own-child,Other,Female,0,0,1,Mexico,<=50K,0
13322a,1,1,,?,1,,HS-grad,1,Married-civ-spouse,?,Husband,White,Male,2635,0,1,United-States,<=50K,0
13560a,1,1,,Private,1,,Bachelors,1,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K,0
14059a,1,1,,Private,1,,Masters,1,Never-married,Exec-managerial,Not-in-family,Other,Female,0,0,1,Cuba,<=50K,0
14118a,1,1,,Private,1,,Prof-school,1,Married-civ-spouse,Prof-specialty,Husband,White,Female,99999,0,1,United-States,>50K,0
14666a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,>50K,0
14719a,1,1,,?,1,,HS-grad,1,Separated,?,Not-in-family,Black,Female,0,2001,1,United-States,<=50K,0
16108a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,1,Germany,<=50K,0
16626a,1,1,,Private,1,,HS-grad,1,Never-married,Craft-repair,Not-in-family,Black,Female,0,0,1,United-States,<=50K,0
16934a,1,1,,Private,1,,HS-grad,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K,0
16945a,1,1,,Private,1,,Assoc-acdm,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K,0
17374a,1,1,,Private,1,,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,<=50K,0
17725a,1,1,,Private,1,,HS-grad,1,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,1,United-States,<=50K,0
